"v1";"v2";"asso";"diss";"adja"
"226";"Bathycoccaceae";"Licmophoraceae";0.0217498145155402;0.699374787036414;0.300625212963586
"227";"Bathycoccaceae";"Mamiellaceae";0.0651325763357637;0.683691240131185;0.316308759868815
"228";"Bathycoccaceae";"Palmariaceae";0.11918796910912;0.663630933158966;0.336369066841034
"229";"Bathycoccaceae";"Skeletonemataceae";0.121376567069651;0.662805941784754;0.337194058215246
"230";"Bathycoccaceae";"Sphaerozoidae";0.212671892620311;0.627426532503881;0.372573467496119
"231";"Bathycoccaceae";"Triparmaceae";0.0598984385271163;0.685602494698234;0.314397505301766
"232";"Bathylagidae";"Ceratiidae";0.289976378621353;0.595828675618523;0.404171324381477
"233";"Bathylagidae";"Phyllophoraceae";0.0909506663290078;0.674184445708662;0.325815554291338
"234";"Bathylagidae";"Portunidae";0.288835337103854;0.596307245845691;0.403692754154309
"235";"Bathylagidae";"Prasinococcaceae";0.209579785431253;0.628657384657473;0.371342615342527
"236";"Bathylagidae";"Trebouxiaceae";0.151608727299103;0.651303029587955;0.348696970412045
"237";"Batrachoididae";"Blenniidae";0.0475132253909669;0.690103896021836;0.309896103978164
"238";"Batrachoididae";"Hapalosiphonaceae";0.0171071511529317;0.701032398982767;0.298967601017233
"239";"Batrachoididae";"Lateolabracidae";0.125022362438316;0.66142937550493;0.33857062449507
"240";"Batrachoididae";"Salmonidae";0.189431143387606;0.636619531829017;0.363380468170983
"241";"Batrachoididae";"Sparidae";0.0476123220379708;0.690067995911283;0.309932004088717
"242";"Batrachospermaceae";"Euphausiidae";0.0360340265978359;0.694249945409492;0.305750054590508
"243";"Batrachospermaceae";"Hapalidiaceae";0.0121826211746846;0.702786375374948;0.297213624625052
"244";"Batrachospermaceae";"Harpacticidae";0.156420730310835;0.649453335386448;0.350546664613552
"245";"Berkeleyaceae";"Gecarcinidae";0.400818673781518;0.547348758205626;0.452651241794374
"246";"Berkeleyaceae";"Pteriidae";0.113708531966289;0.665691921249504;0.334308078750496
"247";"Biddulphiaceae";"Cymatosiraceae";0.0237585210095362;0.698656381560515;0.301343618439485
"248";"Biddulphiaceae";"Entomoneidaceae";0.00715286205596197;0.704573324056495;0.295426675943505
"249";"Biddulphiaceae";"Licmophoraceae";0.0174380578030318;0.700914382145554;0.299085617854446
"250";"Biddulphiaceae";"Sphaerozoidae";0.0138179299996782;0.702204411122688;0.297795588877312
"251";"Biddulphiaceae";"Triceratiaceae";0.163864696222547;0.646581512176714;0.353418487823286
"252";"Biddulphiaceae";"Ulnariaceae";0.161807505288779;0.647376434044066;0.352623565955934
"253";"Blenniidae";"Cynoglossidae";0.020997353956455;0.699643711485905;0.300356288514095
"254";"Blenniidae";"Globorotaliidae";-0.0097075700487543;0.710530636232089;0.289469363767911
"255";"Blenniidae";"Hapalosiphonaceae";0.00208183084604957;0.706370359356177;0.293629640643823
"256";"Blenniidae";"Kareniaceae";-0.0464877196653694;0.723355970344259;0.276644029655741
"257";"Blenniidae";"Lateolabracidae";0.137417934078281;0.656727518047523;0.343272481952477
"258";"Blenniidae";"Mustelidae";0.0801093407977502;0.67819269356218;0.32180730643782
"259";"Blenniidae";"Nostocaceae";0.000369670794680393;0.70697607074261;0.29302392925739
"260";"Blenniidae";"Sparidae";0.0234462950285136;0.69876809635654;0.30123190364346
"261";"Blenniidae";"Stephanodiscaceae";-0.0217574636799107;0.714757813416513;0.285242186583487
"262";"Blenniidae";"Styelidae";-0.0170536104379818;0.713110654259906;0.286889345740094
"263";"Blenniidae";"Syngnathidae";0.198706709907762;0.632966543386078;0.367033456613922
"264";"Bolbocoleonaceae";"Crustomastigaceae";0.047246353204518;0.690200567514792;0.309799432485208
"265";"Bolbocoleonaceae";"Gonostomatidae";0.435182358537644;0.53142150947358;0.46857849052642
"266";"Bolbocoleonaceae";"Rhodymeniaceae";0.053627084353968;0.687885497610624;0.312114502389376
"267";"Bonnemaisoniaceae";"Derbesiaceae";0.123093999952311;0.662157836186996;0.337842163813004
"268";"Bonnemaisoniaceae";"Eustigmataceae";0.0287074418554595;0.696883260720381;0.303116739279619
"269";"Bonnemaisoniaceae";"Gonostomatidae";0.00297530391783074;0.706054068780206;0.293945931219794
"270";"Bonnemaisoniaceae";"Parameciidae";0.0654698411083572;0.683567904048911;0.316432095951089
"271";"Bonnemaisoniaceae";"Tetrahymenidae";-0.0157239470051395;0.712644352747266;0.287355647252734
"272";"Bracteacoccaceae";"Geminigeraceae";-0.019258025525908;0.713883052581411;0.286116947418589
"273";"Bracteacoccaceae";"Hyellaceae";0.0435311777446621;0.691544945124805;0.308455054875195
"274";"Bracteacoccaceae";"Loliginidae";0.0959246894711498;0.672337456389591;0.327662543610409
"275";"Bracteacoccaceae";"Microstomatidae";0.056675738433168;0.686776623643682;0.313223376356318
"276";"Bracteacoccaceae";"Oedogoniaceae";0.0138121269970753;0.702206477114433;0.297793522885567
"277";"Bracteacoccaceae";"Pleurastraceae";0.107083287984668;0.668175393147388;0.331824606852612
"278";"Bryopsidaceae";"Ceramiaceae";0.00172471555451423;0.706496739003616;0.293503260996384
"279";"Bryopsidaceae";"Clupeidae";0.121050065527567;0.66292908160392;0.33707091839608
"280";"Bryopsidaceae";"Cyanothecaceae";0.061134170833193;0.685151745661794;0.314848254338206
"281";"Bryopsidaceae";"Euglenaceae";0.174171078398572;0.642584205221941;0.357415794778059
"282";"Bryopsidaceae";"Gloeomargaritaceae";0.500330718977549;0.499834613158418;0.500165386841582
"283";"Bryopsidaceae";"Harpacticidae";0.0596746830503861;0.685684080663105;0.314315919336895
"284";"Bryopsidaceae";"Histionidae";0.0765800448785722;0.679492441135819;0.320507558864181
"285";"Bryopsidaceae";"Oscillatoriaceae";0.0308315276117848;0.69612084884315;0.30387915115685
"286";"Bryopsidaceae";"Ostreobiaceae";0.0110598538090517;0.703185660473444;0.296814339526556
"287";"Bryopsidaceae";"Prasiolaceae";0.110501325782751;0.666895296960943;0.333104703039057
"288";"Calanidae";"Chloropicaceae";0.0684149691667696;0.682489937959978;0.317510062040022
"289";"Calanidae";"Monodontidae";0.0248061556295649;0.698281406157444;0.301718593842556
"290";"Calanidae";"Penaeidae";0.234967180808232;0.618479110072349;0.381520889927651
"291";"Calotrichaceae";"Chlamydomonadaceae";0.00657590624646351;0.704778012481071;0.295221987518929
