Age [ka BP]	δ18O H2O [‰ SMOW]
37.30	-39.28
37.35	-39.28
37.35	-40.29
37.40	-40.29
37.40	-40.21
37.45	-40.21
37.45	-38.77
37.50	-38.77
37.50	-39.28
37.55	-39.28
37.55	-38.74
37.60	-38.74
37.60	-39.15
37.65	-39.15
37.65	-38.90
37.70	-38.90
37.70	-38.71
37.75	-38.71
37.75	-39.04
37.80	-39.04
37.80	-39.12
37.85	-39.12
37.85	-39.03
37.90	-39.03
37.90	-39.41
37.95	-39.41
37.95	-39.05
38.00	-39.05
38.00	-38.64
38.05	-38.64
38.05	-38.50
38.10	-38.50
38.10	-38.97
38.15	-38.97
38.15	-38.20
38.20	-38.20
38.20	-38.13
38.25	-38.13
38.25	-38.99
38.30	-38.99
38.30	-41.76
38.35	-41.76
38.35	-42.30
38.40	-42.30
38.40	-42.78
38.45	-42.78
38.45	-42.26
38.50	-42.26
38.50	-42.15
